Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31877836,Photography Masterclass Creative Techniques of 100 Great Photographers,Paul Lowe,"Lowe, Paul",,050054462X,9.78E+12,4,4.29,Thames & Hudson,Paperback,288,2016,2016,09/08/2024,17/07/2024,non-fiction,non-fiction (#187),read,"This was an interesting canter through 100 photographic 'masterpieces' split across 10 categories (e.g. places, things, ideas, stories, documents). Each section is chronological, containing images from the 1800s through to the early 2000s.<br/><br/>The book definitely improved my knowledge of notable photographers and also gave good insight into their thought processes. There were a few themes that came through for me. One is the idea that good photography involves the ""art of observation"" and ""finding something interesting in an ordinary place"" (Elliott Erwitt). It's about how you frame the world around you in a way that conveys a deeper meaning. Another theme was how gear is only a means to an end - that end being the ability to tell a great story. Also on this theme, the idea that photographers should know their equipment inside out and push it to its limits. <br/><br/>Some stand out bits for me included: Francis Frith and how he sold his grocery business to fund his travels around the world to take photos; how early photographers battled impressively against heavy equipment and the wet collodion process; John Davies' images of post-industrial Britain; Tony Ray-Jones' philosophy of taking photos of events that take longer to read than they do to happen; how Dougie Wallace uses flash to 'provoke' a situation and work with his street subjects rather than melt into the background; and finally Erich Salomon and the lengths he went to to sneak his camera into high society events, concealing his lens in a bowler hat or bagpipes!",,,1,0,,,,,,,
40169377,Posh Boys,Robert Verkaik,"Verkaik, Robert",,1786073838,9.78E+12,2,3.85,Oneworld ,Hardcover,400,2018,2018,26/07/2024,12/07/2024,non-fiction,non-fiction (#186),read,"If you’re looking for a good read on the social iniquities of the private school system, this book isn’t it. <br/><br/>I read this because it was referenced in [b:Engines of Privilege: Britain's Private School Problem|40872550|Engines of Privilege  Britain's Private School Problem|David Kynaston|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541330107l/40872550._SY75_.jpg|63679359] as an interesting, more journalistic take on the issue. Unfortunately I just found Posh Boys too unfocused and repetitive. <br/><br/>The book is split in two: part one deals with the history of private schools from the medieval period onwards and annoyingly seems to have a particular focus on military figures (Verkaik has written on this topic previously). <br/><br/>Part two takes us into the modern era (up to 2017) but just seems to be an opportunity for the author to have his take on the events and characters of the day. We get mini biographies of figures like David Cameron, Nigel Farage, and Jeremy Corbyn, and discussion of Brexit, Cambridge Analytica, and the coalition government. The link with private schools is basically “all these terrible people went to private schools and therefore put personal ambition before national interest”. <br/><br/>There were some interesting insights: for instance how private school alumni can sign up for membership lists, giving them contact details for whenever they need advice or a handy internship; and Verkaik quotes the beginning of an article by Andy Beckett who writes humorously <a href=""https://www.theguardian.com/education/2017/feb/23/ppe-oxford-university-degree-that-rules-britain"">in the Guardian</a> about the scourge of the Oxford PPE degree.",,,1,0,,,,,,,
38471774,Key Moments in Art,Lee Cheshire,"Cheshire, Lee",,500293627,9.78E+12,4,4.12,Thames & Hudson,Paperback,176,2018,2019,10/07/2024,03/07/2024,non-fiction,non-fiction (#183),read,,,,1,0,,,,,,,
43239854,Engines of Privilege: Britain's Private School Problem,David Kynaston,"Kynaston, David",Francis Green,1526601249,9.78E+12,4,3.63,Bloomsbury Publishing,Kindle Edition,385,2019,2019,04/07/2024,20/06/2024,non-fiction,non-fiction (#184),read,"7% of children in the UK are educated at one of 2,500 private (‘public’ / ‘independent’) schools, where they benefit from approximately three times the level of resources available to their state-educated counterparts. This is ostensibly a service industry which creates an ‘educational apartheid’, ‘cements elite structures’, and is fundamentally ‘incompatible with the pursuit of a fairer, more cohesive society’. <br/><br/>This is the damning indictment of private schooling by academics David Kynaston and Francis Green. Across 9 chapters, the book examines the potted history of private schools and the enduring inertia of political will to reform them, what their fees actually buy, why parents choose to send their children to them, and detailed options for reform. The authors discuss the effects of extra resources, small class sizes, peer effects, and autonomy on attainment, and often return to the issues of charitable status and proposals to levy VAT (a policy still espoused by the Labour party on the eve of the 2024 general election). <br/><br/>The authors wear their stripes proudly in arguing for the need for reform, and there are some incisive and interesting points made. For instance, it’s often argued that parents should have a right to buy a private education if they so wish – that’s true of certain consumer goods and services, yes, but education is different because it’s ‘formative’ and has huge effects on life chances. There is also criticism of the idea that we can’t abolish private schools because that would leave a gaping hole in the economy – not so, because this assumes a counterfactual in which those parents, students, and teachers all disappear into the ether rather than join – and pay tax through - the state sector. <br/><br/>There is also discussion of how schools choose to justify their charity status through partnerships with state institutions. This is really laughable in many cases, for instance staff serving as governors at state schools, hosting joint debating clubs and drama events, and sharing swimming pools. All they have to do for their tax breaks is to pay lip service to the very idea of ‘public benefit’. <br/><br/>One strength of this book is its detailed proposals for reform. It discusses ideas to reduce both the demand for and supply of private education through contextual admissions policies (a form of positive discrimination), raising fees through taxation, and Open / Fair Access Schemes. Ultimately, though it’s likely that no major reforms will take place – and is it any wonder when one considers that the alumni of the accused extend like tentacles into all the high and influential positions in society? <br/><br/>I would recommend this book to anyone interested in the position of private education in contemporary Britain. The writing quality does vary across the chapters - there's a degree of repetition and over-quoting throughout (and an obsession with em dashes!), but the arguments and evidence are interesting. ",,,1,0,,,,,,,
167731538,Yellowface,Rebecca F. Kuang,"Kuang, Rebecca F.",,8532788,9.78E+12,4,3.78,The Borough Press,Paperback,323,2023,2023,20/06/2024,12/06/2024,fiction,fiction (#250),read,"Modern, zeitgeisty litfic - I really enjoyed this. Juniper Hayward steals the manuscript of her recently-dead, much-more-successful frenemy Athena Liu and turns it into a bestseller. But it's not long before accusations swirl and the immortality of her actions start to catch up with her. This is a very modern story about the pressures of the publishing industry, social media, and isolation. At the heart of the book is the question of authentic authorship; or, who is allowed to write what. It's interesting that Kuang is of Chinese heritage yet chooses to write from the first-person perspective of a white woman writing about Chinese history. ",,,1,0,,,,,,,
416985,Peacemakers: Six Months that Changed the World,Margaret MacMillan,"MacMillan, Margaret",,719562376,9.78E+12,4,4.12,Hodder Hb,Paperback,574,2003,2001,11/06/2024,17/04/2024,"non-fiction, history","non-fiction (#181), history (#37)",read,"After reading [b:The Sleepwalkers: How Europe Went to War in 1914|18669169|The Sleepwalkers  How Europe Went to War in 1914|Christopher   Clark|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384804367l/18669169._SY75_.jpg|21905061], this seemed the logical next choice for understanding the political implications of the Great War. With great authority and detail, MacMillan takes the reader through the first six months of 1919 as the peacemakers (Wilson, Clemenceau, Lloyd George, and numerous national delegations) worked to hash out the Treaty of Versailles and various other peace deals. There is also a great deal of history and context discussed along the way.<br/><br/>Some of the key themes include: Wilson’s Fourteen Points and idea of self-determination as a guiding principle; the effect of Bolshevism and the desire for a ‘cordon sanitaire’ in Europe; France’s particular hatred towards Germany for having suffered the most; disagreements over reparations and the effect of these in the following decades; and the redrawing of maps and numerous conflicts of territorial claims (Italy and Yugoslavia, Germany and Poland, Japan and China, Greece and Turkey, the Sykes-Picot agreement for spheres of influence in the Middle East).<br/><br/>The only criticism I have is that I often finished a chapter feeling uncertain as to what the final outcome was – they wanted x, but the others wanted y… but what was the final result? There are a number of maps at the front of the book, but I didn’t find them totally clear.",,,1,0,,,,,,,
6336454,A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",,141190272,9.78E+12,4,3.98,PENGUIN,Paperback,112,2009,1947,10/06/2024,06/06/2024,fiction,fiction (#249),read,"I decided to read this play because it seems to crop up quite often. Set in New Orleans, it's a story of desire, death, and madness swirling around three major characters: Stella, her husband Stanley, and her sister Blanche. There's so much tension, and what happens at the end is really shocking - both in terms of what happens to Blanche and Stella's reaction to it. ",,,1,0,,,,,,,
6554208,Van Gogh: His Life & Works in 500 Images,Michael   Howard,"Howard, Michael",,075481954X,9.78E+12,4,4.59,Lorenz Books,Hardcover,256,2010,2009,05/06/2024,28/05/2024,non-fiction,non-fiction (#182),read,"I thought this was a very good introduction to the life and works of Van Gogh. The first half covers his biography (the Lowlands and England, Arles, St-Remy, and Auvers), while the second half is a gallery dedicated just to his works. The whole book is replete with high quality colour images which, in the first part, also include some photographs and prints of other artists who served as Vincent's inspiration. ",,,1,0,,,,,,,
59454274,Still Life,Sarah Winman,"Winman, Sarah",,8283397,9.78E+12,2,4.17,HARPER COLLINS,Paperback,438,2022,2021,23/05/2024,04/05/2024,fiction,fiction (#248),read,"After the first 50-or-so pages of this book I really wanted to put it down but was persuaded (by someone!) to continue. So I settled in for another 400 pages of trying-too-hard-to-be-eccentric, too-cool-for-speechmarks prose. I just didn't buy the characters or events - I didn't feel any emotional connection to them and things just seemed to happen for the sake of it. I also thought the book smacked of ""I've been to Florence and I'm going to pepper every page with little Italian phrases and references to make it seem authentic"". ",,,1,0,,,,,,,
6270312,The Private Lives of the Impressionists,Sue Roe,Sue Roe,,99458349,9.78E+12,4,3.97,RANDOM HOUSE UK,Paperback,368,2007,2006,01/05/2024,07/04/2024,non-fiction,non-fiction (#180),read,"This book covers the artistic trials and tribulations of the French impressionist painters between the 1860s and 1890s. The original members (Monet, Pissarro, Cezanne, Renoir, Sisley) met initially at the painting schools of Suisse and Gleyre, where they all aspired to exhibit at the elite galleries of the Salon (Manet was always thought of as the leader but never actually exhibited with them). The book follows the development of the group and its new members (Caillebotte, Morisot, Cassatt, Gauguin, etc) through their 8 exhibitions, dealing with historical events (the Franco-Prussian war, Haussmann's renovation), personal relationships, money worries, and artistic experimentation along the way. <br/><br/>I learned a lot here, though sometimes the writing felt a little unfocused (how could it not be when you're dealing with the private lives of so many different individuals). The book does contain colour plates of some of the artworks described, but a wider selection would have been appreciated.",,,1,0,,,,,,,
62086891,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,571376487,9.78E+12,4,4.51,Faber & Faber,Paperback,546,2023,2022,10/04/2024,21/03/2024,fiction,fiction (#247),read,"A heart-wrenching modern adaptation of David Copperfield, the book follows the ordeals and privations of Demon Copperhead as he navigates poverty, the care system, and addiction in Appalachia. Kingsolver's writing is vivid and immersive, and although the story's foundation is provided by Dickens, this retelling is very modern and very American in flavour (e.g. football, opioids, various other references that went above my head!). We root for Demon as he attempts to surmount the awful cards he's been dealt in life - to do so, he has to show tenacity, bravery, and compassion. An excellent, if long, read.<br/><br/>(I read this for a book group at work).",,,1,0,,,,,,,
190125539,"The History Hit Miscellany of Facts, Figures and Fascinating Finds introduced by Dan Snow",History Hit,"Hit, History",,1399726021,9.78E+12,3,4.1,Hodder & Stoughton,Kindle Edition,304,2023,2023,27/03/2024,28/02/2024,"non-fiction, history","non-fiction (#179), history (#36)",read,"A little disappointed with this one as I expected more esoteric, lesser-known history facts. I get the idea and appeal of small doses of information too, but sometimes the lists and bullet points just felt lazy. Perhaps what would have been better is fewer facts given more time. <br/><br/>Some interesting things I remembered: the Romans' attitude to wearing trousers, the role of McDonalds during the end of Communism in Russia, mysterious medieval monsters, Syndrome K in an Italian hospital during WWII, societal consequences of the Black Death, the effect of Spanish flu on Woodrow Wilson's decision-making capacity at Versailles, the Isabella Stewart Gardner museum heist, and the breakdown of major Western artistic movements.",,,1,0,,,,,,,
121457144,Tory Nation: The Dark Legacy of the World's Most Successful Political Party,Samuel Earle,"Earle, Samuel",,,,4,4.38,Simon & Schuster UK,Kindle Edition,303,2023,2023,15/03/2024,05/03/2024,non-fiction,non-fiction (#178),read,"“Above all, Conservatism is the historic creed of Britain's ruling class”. Over 8 well-written chapters, Earle covers Britain's historical conservatism and ruling class hegemony, Tory flirtations with the far right, the role of the press, the Labour party's successes and (mainly) failures to gain power, and finally a blow-by-blow account of events between the Brexit referendum in 2016 and the chaos of Covid and beyond. <br/><br/>There were lots of interesting insights here: the intertwining of national identity and conservative viewpoints (making it difficult for Labour to challenge the status quo); the Tories' “fundamentally anti-democratic” bent (through support of hereditary institutions like the monarchy and House of Lords, opposition to voting reform); their ‘cult of common sense' that serves to legitimise ruling class interests without having to spell them out; anxiety induced by Britain's ‘fading superpower status' after WWII and scapegoating of immigrants and other groups; and how the Tories' austerity agenda plays directly into the ‘valorisation of hardship' (stiff upper lip, keep calm and carry on – again, key to national identity). <br/><br/>Clearly this is a book written by someone unsympathetic to the Tory project, though I found Earle's criticism - on both sides of the political divide - persuasive and even-keeled.",,,1,0,,,,,,,
62337597,Lessons,Ian McEwan,"McEwan, Ian",,1529116317,9.78E+12,3,4.01,Vintage,Paperback,496,2023,2022,28/02/2024,26/01/2024,fiction,fiction (#246),read,"Lessons is the lifetime-spanning story of Ronald Baines. The book contains strongly autobiographical elements, beginning in the '40s with Ronald's upbringing in Algeria and subsequent move to a boarding school in England. It then follows him into his '70s, ending with Covid. The main storylines are his relationships with two women in his life: his school piano teacher Miss Cornell, and later his wife Alissa - both ultimately negative, and both having rippling effects throughout his life. I found it quite difficult to get into this book as the writing is quite dense (and sometimes dreamlike), reminding me of Doris Lessing. The book really serves as a conduit for McEwan to recount and reflect on the major current affairs that took place during his life, particularly the Cold War and the fall of the Berlin wall (as well as some indulgent forays into Labour politics). I did enjoy the book more as the story progressed, but I think it represents a departure from the typical McEwan style that I enjoy.",,,1,0,,,,,,,
54181287,The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,"Galef, Julia",,349427631,9.78E+12,3,4.12,Piatkus,Kindle Edition,283,2021,2019,01/02/2024,22/01/2024,non-fiction,non-fiction (#177),read,"This book contrasts two different mindsets: the soldier and the scout. A soldier engages in 'directionally motivated reasoning', (aka confirmation bias) according to their biases, prejudices, and identity. In contrast, a scout engages in 'accuracy motivated reasoning' in that they are more concerned with what is really true. Scouts are able to leave their identity at the door while they update their beliefs in the face of new evidence and conduct thought experiments to consider other perspectives (e.g. the double standard test, outsider test, conformity test, selective skeptic test, status quo bias test). <br/><br/>As someone who already thinks of themselves as having a scout mindset, I feel like I didn't learn many things from this book. Since reading about the philosophy of science (e.g. Karl Popper) and working in academia, I have always felt a sense of agnosticism about what is 'true', though I suppose I don't have a track record of engaging in thought experiments to try to 'disprove' my own beliefs, such as they are. Overall, I felt that this book relied a little too much on acecdata and I've have appreciated more discussion of the psychology research literature.",,,1,0,,,,,,,
195492969,Prophet Song,Paul Lynch,"Lynch, Paul",,861546458,9.78E+12,4,4.16,Oneworld Publications,Hardcover,320,2023,2023,24/01/2024,14/01/2024,fiction,fiction (#245),read,"Prophet Song is the story of an Ireland that descends into dystopia after an Emergency Powers Act is passed and everyday life gives way to tyranny. It focuses on Eilish Stack, a mother of four whose trauma is expressed deeply and viscerally as she battles to save her family. Excellent writing here, a sort of dark and atmospheric stream of consciousness style with very long paragraphs but not difficult at all to keep up with. I loved how how Lynch captured the gradual slide into totalitarianism and people's desperation to escape. ",,,1,0,,,,,,,
58939410,The Forever Dog,Rodney Habib,"Habib, Rodney",,8467420,9.78E+12,3,4.21,THORSONS,Paperback,464,2021,2021,17/01/2024,25/12/2023,non-fiction,non-fiction (#176),read,"I read this as research before getting a dog. There are some useful insights here, but it took way too long to reach them. The tone of the book is overly 'chirpy' and the content is quite repetitive. As a UK-based reader I'm also not sure how well some of the things translate, e.g. concerning (lack of) regulation of dog food contents and presence of chemicals in certain products. But some interesting things included: dogs that live past 17 are known as 'Methuselahs'; dogs produce more pancreatic amylase than wolves (to digest carbs); dogs have little REM sleep, so need more overall sleep to compensate; dogs are sensitive to Schumann resonances (electromagnetic vibrations); 'core longevity toppers' can be added to dog food to promote health (e.g. many fruits and vegetables); and dog foods vary in how 'processed' they are. ",,,1,0,,,,,,,
123503698,Lapvona,Ottessa Moshfegh,"Moshfegh, Ottessa",,593300289,9.78E+12,4,3.53,Penguin Books,Paperback,320,2023,2022,03/01/2024,27/12/2023,fiction,fiction (#244),read,"Perplexing, grotesque, yet oddly engrossing (classic Moshfegh!). Lapvona is the story of a fictional medieval fiefdom somewhere in eastern Europe. Over a year it follows a handful of characters (Marek, Jude, Ina, Villiam) and touches on themes of guilt, religion, feudalism, and parenthood. ",,,1,0,,,,,,,
61239940,The Ottomans,Marc David Baer,"Baer, Marc David",,1473695740,9.78E+12,3,3.97,Basic Books,Paperback,543,2022,2021,24/12/2023,04/11/2023,"non-fiction, history","non-fiction (#174), history (#35)",read,"I read this because I realised after reading Christopher Clark's 'The Sleepwalkers' that I knew nothing at all about the Ottoman empire. In hindsight, this book was perhaps not the best one to choose, given that it covers too long a time period and only gets interesting in the last quarter. <br/><br/>Over 470 pages, Baer paints a picture of the the 'Ottoman Way' - an empire that was about 'incorporating others through religious conversion and tiered tolerance, ethno-religious plurality, and gendered social strata'. The empire went from strength to strength, being initially feared by other European powers in the C17, admired as a centre of culture and refinement in the C18, and finally looked down upon by other European colonial powers in the C19 as it declined. Interesting parts included discussions of Janissary units and the Collection, eunuchs, harems, fratricide, rivalries with the Habsburgs and later the Russians, and finally events leading up to WWI. <br/><br/>I learnt a fair bit from this book but generally I don't think it was very well written: too many asides going into too much detail, some amount of repetition, and sometimes little sense of the bigger picture. The maps were very helpful though the colour plates were a bit lacklustre.",,,1,0,,,,,,,
185265274,Death and the Penguin,Andrey Kurkov,"Kurkov, Andrey",George Bird,,,3,3.8,,Kindle Edition,242,2023,1996,14/12/2023,03/12/2023,fiction,,read,,,,1,0,,,,,,,
74991730,Endurance : Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,,,4,4.44,Basic Books,Paperback,284,2003,1959,25/11/2023,13/11/2023,non-fiction,non-fiction (#175),read,"This was a good read that evoked the perils and hardships of Shackleton's ill-fated Trans-Antarctic Expedition of 1914-16. Based on interviews and diary entries, it was very detailed and at times made you feel like you were there. There were some points that dragged a little, however, and it would have been nice to know what happened to everyone afterwards, or people's reactions to the voyage back home.",,,1,0,,,,,,,
75523493,Great and Horrible News: Murder and Mayhem in Early Modern Britain,Blessin Adams,"Adams, Blessin",,000850024X,9.78E+12,4,3.89,William Collins,Kindle Edition,228,2023,2023,22/10/2023,16/10/2023,"non-fiction, history","history (#34), non-fiction (#173)",read,"This was an excellent read. I imagine that a career transition from police officer to history academic is fairly rare, but in this case it made for a very interesting perspective. Adams presents and dissects 9 different crimes during the 1600s. Each one is like a short story in the way it's written, but backed up by remaining documentary evidence. Above all, these stories provide insight into the social mores of the time, but also things like the first use of forensic evidence, the societal role of midwives, and church-sanctioned torture. The most prominent theme is that of suicide (or 'felo de se') - the early moderns had different ideas about suicide which carried its own sentence and had very negative social consequences for the remaining family (e.g. profane burial, forfeiture of estate). I knocked my rating down from 5 stars because quite a few of the examples were about suicide, and it'd have been nice to have a bit more variety. But overall this was extremely well written and very interesting.",,,1,0,,,,,,,
15822373,Howards End,E.M. Forster,"Forster, E.M.",,141199407,9.78E+12,3,3.96,Penguin Classic,Paperback,382,2012,1910,16/10/2023,29/09/2023,fiction,fiction (#243),read,"I found this quite a difficult read because often I had no idea what was going on (thank you, Sparknotes!). I suppose this is down to the modernist writing style and Foster's heavy use of ambiguity and symbolism. The novel has been summarised by the question ""Who shall inherit England?""; it concerns the intermingling of three families who represent different social strata (the Schlegels, the Wilcoxes, and the Basts) and the passing down of a country house named Howards End (representing England). ",,,1,0,,,,,,,
